university_id,University_Name,Type,State_UT,City_District,Year_of_Establishment,Accreditation_NAAC_Grade,NAAC_Score,Approval_Body,Number_of_Courses_UG,Number_of_Courses_PG,Number_of_Courses_Diploma,Number_of_Courses_PhD,NIRF_Ranking_Overall,NIRF_Ranking_by_stream,Hostel_Capacity_Boys,Hostel_Capacity_Girls,Library_Books_Count,Labs_Count_Smart_Classrooms,Placement_Rate_pct,Median_Package_INR,Top_Recruiters,BI_ME_FRP
11,"International Institute of Information Technology, Hyderabad",Deemed,Telangana,Hyderabad,1998,B+,2.5,UGC;AICTE;PCI,155,10,9,25,,,2501,379,334603,205,82.0,1309319,Amazon;Accenture;TCS;Flipkart;Infosys,"BasicInfo:Established 1998;Infra:Hostel 2880 seats, Library 334603 books;Management:Autonomous;Education:UG 155,PG 10,PhD 25;Finance:AnnualFeeApprox;Rankings:NIRF nan;Placement:Rate 82.0% Median 1309319"
12,"Indian Institute of Information Technology, Allahabad",Central,Uttar Pradesh,Prayagraj,1999,A+,3.73,UGC;AICTE,37,146,2,13,,,3202,2246,1253021,104,78.8,1049448,Amazon;Cognizant;Oracle;Google;Accenture,"BasicInfo:Established 1999;Infra:Hostel 5448 seats, Library 1253021 books;Management:Autonomous;Education:UG 37,PG 146,PhD 13;Finance:AnnualFeeApprox;Rankings:NIRF nan;Placement:Rate 78.8% Median 1049448"
13,University of Delhi,Central,Delhi,New Delhi,1922,B,2.18,AICTE,99,112,10,46,,,2029,2094,1986627,284,72.8,526660,L&T;Infosys;Accenture;Oracle;Flipkart,"BasicInfo:Established 1922;Infra:Hostel 4123 seats, Library 1986627 books;Management:Autonomous;Education:UG 99,PG 112,PhD 46;Finance:AnnualFeeApprox;Rankings:NIRF nan;Placement:Rate 72.8% Median 526660"
14,Jawaharlal Nehru University,Central,Delhi,New Delhi,1969,A,3.17,UGC;AICTE;PCI,161,68,9,19,1,,790,2884,223467,137,83.2,1007458,Infosys;TCS;Microsoft;Samsung;Accenture,"BasicInfo:Established 1969;Infra:Hostel 3674 seats, Library 223467 books;Management:Autonomous;Education:UG 161,PG 68,PhD 19;Finance:AnnualFeeApprox;Rankings:NIRF 1;Placement:Rate 83.2% Median 1007458"
15,University of Calcutta,State,West Bengal,Kolkata,1857,A,3.2,UGC;AICTE,74,148,2,41,74,,2436,1295,1745466,262,86.1,1491061,Google;Accenture;Infosys;Oracle;Samsung,"BasicInfo:Established 1857;Infra:Hostel 3731 seats, Library 1745466 books;Management:Autonomous;Education:UG 74,PG 148,PhD 41;Finance:AnnualFeeApprox;Rankings:NIRF 74;Placement:Rate 86.1% Median 1491061"
16,Banaras Hindu University,Central,Uttar Pradesh,Varanasi,1916,A,3.43,UGC;AICTE,139,23,10,46,,,3146,703,227113,226,71.6,1045393,Samsung;Microsoft;Infosys;Accenture;Cognizant,"BasicInfo:Established 1916;Infra:Hostel 3849 seats, Library 227113 books;Management:Autonomous;Education:UG 139,PG 23,PhD 46;Finance:AnnualFeeApprox;Rankings:NIRF nan;Placement:Rate 71.6% Median 1045393"
17,University of Mumbai,State,Maharashtra,Mumbai,1857,A,3.35,UGC;AICTE,55,118,2,22,60,,1523,608,1029312,301,89.8,1111133,Infosys;TCS;Cognizant;Flipkart;Samsung,"BasicInfo:Established 1857;Infra:Hostel 2131 seats, Library 1029312 books;Management:Autonomous;Education:UG 55,PG 118,PhD 22;Finance:AnnualFeeApprox;Rankings:NIRF 60;Placement:Rate 89.8% Median 1111133"
18,Anna University,State,Tamil Nadu,Chennai,1978,B,2.34,AICTE,62,114,7,35,28,,2142,540,445269,214,88.1,1878120,TCS;Google;Amazon;L&T;Oracle,"BasicInfo:Established 1978;Infra:Hostel 2682 seats, Library 445269 books;Management:Autonomous;Education:UG 62,PG 114,PhD 35;Finance:AnnualFeeApprox;Rankings:NIRF 28;Placement:Rate 88.1% Median 1878120"
19,Pune University (Savitribai Phule Pune University),State,Maharashtra,Pune,1949,A,3.29,UGC;AICTE;PCI,189,134,2,17,38,,1391,539,1314629,396,90.0,1686481,Cognizant;TCS;Microsoft;Flipkart;Samsung,"BasicInfo:Established 1949;Infra:Hostel 1930 seats, Library 1314629 books;Management:Autonomous;Education:UG 189,PG 134,PhD 17;Finance:AnnualFeeApprox;Rankings:NIRF 38;Placement:Rate 90.0% Median 1686481"
20,IISc Bangalore,Autonomous,Karnataka,Bengaluru,1909,B++,3.12,UGC;AICTE;PCI,155,50,0,37,11,,3987,1061,243699,324,79.6,1982321,Infosys;Flipkart;Accenture;Google;Samsung,"BasicInfo:Established 1909;Infra:Hostel 5048 seats, Library 243699 books;Management:Autonomous;Education:UG 155,PG 50,PhD 37;Finance:AnnualFeeApprox;Rankings:NIRF 11;Placement:Rate 79.6% Median 1982321"
21,Amrita Vishwa Vidyapeetham,Deemed,Tamil Nadu,Coimbatore,1994,C,1.41,UGC;AICTE;PCI,83,20,9,10,54,,3192,2690,1285366,287,88.2,490624,Microsoft;Amazon;Accenture;Samsung;Oracle,"BasicInfo:Established 1994;Infra:Hostel 5882 seats, Library 1285366 books;Management:Autonomous;Education:UG 83,PG 20,PhD 10;Finance:AnnualFeeApprox;Rankings:NIRF 54;Placement:Rate 88.2% Median 490624"
22,Tata Institute of Social Sciences,Deemed,Maharashtra,Mumbai,1936,A,3.46,AICTE,191,86,7,25,97,,797,338,1061094,338,77.8,1378556,Oracle;Infosys;Flipkart;Cognizant;Accenture,"BasicInfo:Established 1936;Infra:Hostel 1135 seats, Library 1061094 books;Management:Autonomous;Education:UG 191,PG 86,PhD 25;Finance:AnnualFeeApprox;Rankings:NIRF 97;Placement:Rate 77.8% Median 1378556"
23,Central North Vishwavidyalaya 23,Central,Meghalaya,City_Meghalaya_24,1997,A,3.18,UGC;AICTE,144,92,9,39,,,124,210,142654,27,66.3,742965,ConsultingFirms;LocalCompanies;LocalBanks;Accenture,"BasicInfo:Established 1997;Infra:Hostel 334 seats, Library 142654 books;Management:StateRun;Education:UG 144,PG 92,PhD 39;Finance:Moderate;Rankings:NIRF ;Placement:Rate 66.3% Median 742965"
24,State East Institute 24,State,Haryana,City_Haryana_25,1963,B+,2.73,AICTE,74,38,19,13,76,,391,114,1000,30,52.1,327715,LocalBanks;Wipro;ConsultingFirms;StateCorp,"BasicInfo:Established 1963;Infra:Hostel 505 seats, Library 1000 books;Management:StateRun;Education:UG 74,PG 38,PhD 13;Finance:Moderate;Rankings:NIRF 76;Placement:Rate 52.1% Median 327715"
25,Global East Institute of Technology 25,Autonomous,Bihar,City_Bihar_26,1961,B++,3.03,NAAC,16,2,10,8,,,0,180,44044,1,59.5,415057,Accenture;Infosys;LocalBanks;Wipro,"BasicInfo:Established 1961;Infra:Hostel 180 seats, Library 44044 books;Management:StateRun;Education:UG 16,PG 2,PhD 8;Finance:Moderate;Rankings:NIRF ;Placement:Rate 59.5% Median 415057"
26,Metro North School of Mines 26,Central,Haryana,City_Haryana_27,1959,C,2.17,AICTE,144,6,11,37,,,113,99,77185,19,75.3,112551,ConsultingFirms;Infosys;Wipro;TCS,"BasicInfo:Established 1959;Infra:Hostel 212 seats, Library 77185 books;Management:StateRun;Education:UG 144,PG 6,PhD 37;Finance:Moderate;Rankings:NIRF ;Placement:Rate 75.3% Median 112551"
27,Modern North University of Science and Technology 27,State,Tamil Nadu,City_Tamil_28,1976,B+,2.58,UGC,95,73,13,39,,,407,220,225236,1,48.7,424912,Infosys;Wipro;StateCorp;TCS,"BasicInfo:Established 1976;Infra:Hostel 627 seats, Library 225236 books;Management:StateRun;Education:UG 95,PG 73,PhD 39;Finance:Moderate;Rankings:NIRF ;Placement:Rate 48.7% Median 424912"
28,National Institute of Technology Patna,Central,Arunachal Pradesh,Patna,1971,B+,2.62,NAAC,110,87,7,17,,,297,3,92906,1,72.4,359765,Infosys;TCS;Wipro;LocalCompanies,"BasicInfo:Established 1971;Infra:Hostel 300 seats, Library 92906 books;Management:StateRun;Education:UG 110,PG 87,PhD 17;Finance:Moderate;Rankings:NIRF ;Placement:Rate 72.4% Median 359765"
29,National West Institute 29,Autonomous,Tamil Nadu,City_Tamil_30,1989,B,2.35,AICTE,62,5,6,25,,,283,177,154571,1,63.7,464970,LocalBanks;Accenture;StateCorp;LocalCompanies,"BasicInfo:Established 1989;Infra:Hostel 460 seats, Library 154571 books;Management:StateRun;Education:UG 62,PG 5,PhD 25;Finance:Moderate;Rankings:NIRF ;Placement:Rate 63.7% Median 464970"
30,Indian Metro Vishwavidyalaya 30,Autonomous,Ladakh,City_Ladakh_31,2001,B+,2.82,UGC;AICTE;PCI,89,5,3,16,,,292,296,68103,45,63.5,95786,Infosys;Accenture;LocalCompanies;StateCorp,"BasicInfo:Established 2001;Infra:Hostel 588 seats, Library 68103 books;Management:StateRun;Education:UG 89,PG 5,PhD 16;Finance:Moderate;Rankings:NIRF ;Placement:Rate 63.5% Median 95786"
31,Modern East Institute of Science 31,Central,West Bengal,City_West_32,2015,A+,3.71,UGC;AICTE;PCI,53,34,1,27,70,,56,94,1000,46,79.2,504529,LocalCompanies;Wipro;Infosys;Startups,"BasicInfo:Established 2015;Infra:Hostel 150 seats, Library 1000 books;Management:StateRun;Education:UG 53,PG 34,PhD 27;Finance:Moderate;Rankings:NIRF 70;Placement:Rate 79.2% Median 504529"
32,Modern East School of Mines 32,State,Haryana,City_Haryana_33,1988,B++,2.72,UGC;AICTE,88,53,9,35,79,,188,190,72135,44,60.3,763383,Infosys;Wipro;Startups;LocalBanks,"BasicInfo:Established 1988;Infra:Hostel 378 seats, Library 72135 books;Management:StateRun;Education:UG 88,PG 53,PhD 35;Finance:Moderate;Rankings:NIRF 79;Placement:Rate 60.3% Median 763383"
33,Central Central School of Mines 33,Autonomous,Punjab,City_Punjab_34,2001,B++,3.09,UGC,82,38,6,27,84,,71,148,65247,38,53.0,551532,LocalBanks;Startups;Wipro;StateCorp,"BasicInfo:Established 2001;Infra:Hostel 219 seats, Library 65247 books;Management:StateRun;Education:UG 82,PG 38,PhD 27;Finance:Moderate;Rankings:NIRF 84;Placement:Rate 53.0% Median 551532"
34,Global Metro Institute of Technology 34,Deemed,Karnataka,City_Karnataka_35,1960,A,3.01,UGC;AICTE;PCI,90,13,7,19,70,,108,52,1000,11,81.9,316147,Wipro;ConsultingFirms;TCS;LocalCompanies,"BasicInfo:Established 1960;Infra:Hostel 160 seats, Library 1000 books;Management:StateRun;Education:UG 90,PG 13,PhD 19;Finance:Moderate;Rankings:NIRF 70;Placement:Rate 81.9% Median 316147"
35,Tech North School of Mines 35,State,Puducherry,City_Puducherry_36,2003,B,2.5,UGC;AICTE;PCI,54,93,12,31,76,,37,26,1000,33,95.6,233264,StateCorp;Wipro;TCS;LocalBanks,"BasicInfo:Established 2003;Infra:Hostel 63 seats, Library 1000 books;Management:StateRun;Education:UG 54,PG 93,PhD 31;Finance:Moderate;Rankings:NIRF 76;Placement:Rate 95.6% Median 233264"
36,State West University of Science and Technology 36,Deemed,Manipur,City_Manipur_37,1972,B,2.15,UGC;AICTE;PCI,123,8,17,15,56,,415,150,156470,49,64.6,444045,TCS;Startups;ConsultingFirms;Wipro,"BasicInfo:Established 1972;Infra:Hostel 565 seats, Library 156470 books;Management:StateRun;Education:UG 123,PG 8,PhD 15;Finance:Moderate;Rankings:NIRF 56;Placement:Rate 64.6% Median 444045"
37,Global East School of Mines 37,Deemed,Delhi,City_Delhi_38,2014,A,3.32,UGC;AICTE;PCI,119,22,15,28,74,,71,167,61272,30,22.4,641598,Accenture;Wipro;StateCorp;LocalBanks,"BasicInfo:Established 2014;Infra:Hostel 238 seats, Library 61272 books;Management:StateRun;Education:UG 119,PG 22,PhD 28;Finance:Moderate;Rankings:NIRF 74;Placement:Rate 22.4% Median 641598"
38,Global Metro Institute of Technology 38,State,Meghalaya,City_Meghalaya_39,1985,A,3.22,NAAC,65,36,10,20,,,141,202,183101,1,57.9,278445,ConsultingFirms;TCS;Startups;StateCorp,"BasicInfo:Established 1985;Infra:Hostel 343 seats, Library 183101 books;Management:StateRun;Education:UG 65,PG 36,PhD 20;Finance:Moderate;Rankings:NIRF ;Placement:Rate 57.9% Median 278445"
39,Central South Institute of Science 39,State,Chhattisgarh,City_Chhattisgarh_40,2003,A,3.19,UGC;AICTE;PCI,124,55,1,13,58,,113,105,62576,16,76.6,320161,StateCorp;ConsultingFirms;Startups;Accenture,"BasicInfo:Established 2003;Infra:Hostel 218 seats, Library 62576 books;Management:StateRun;Education:UG 124,PG 55,PhD 13;Finance:Moderate;Rankings:NIRF 58;Placement:Rate 76.6% Median 320161"
40,Government Central University of Science and Technology 40,Autonomous,Tripura,City_Tripura_41,2011,A++,3.77,NAAC,81,98,12,26,,,520,177,182436,6,61.7,251779,ConsultingFirms;Wipro;Startups;TCS,"BasicInfo:Established 2011;Infra:Hostel 697 seats, Library 182436 books;Management:StateRun;Education:UG 81,PG 98,PhD 26;Finance:Moderate;Rankings:NIRF ;Placement:Rate 61.7% Median 251779"
41,Tech West University 41,State,Sikkim,City_Sikkim_42,2001,B+,2.6,UGC;AICTE,37,81,17,1,79,,160,203,111970,1,58.8,50000,StateCorp;LocalCompanies;Startups;LocalBanks,"BasicInfo:Established 2001;Infra:Hostel 363 seats, Library 111970 books;Management:StateRun;Education:UG 37,PG 81,PhD 1;Finance:Moderate;Rankings:NIRF 79;Placement:Rate 58.8% Median 50000"
42,Tech North Institute 42,State,Mizoram,City_Mizoram_43,1998,A,3.15,UGC;AICTE,88,45,12,17,59,,200,240,204683,32,71.4,437045,StateCorp;Accenture;ConsultingFirms;LocalCompanies,"BasicInfo:Established 1998;Infra:Hostel 440 seats, Library 204683 books;Management:StateRun;Education:UG 88,PG 45,PhD 17;Finance:Moderate;Rankings:NIRF 59;Placement:Rate 71.4% Median 437045"
43,Global East University 43,State,Manipur,City_Manipur_44,1958,B+,2.88,UGC,12,33,6,1,,,279,25,66342,34,69.3,684254,Infosys;Wipro;TCS;Startups,"BasicInfo:Established 1958;Infra:Hostel 304 seats, Library 66342 books;Management:StateRun;Education:UG 12,PG 33,PhD 1;Finance:Moderate;Rankings:NIRF ;Placement:Rate 69.3% Median 684254"
44,National Metro Institute of Technology 44,Deemed,Mizoram,City_Mizoram_45,1997,A+,3.67,UGC;AICTE;PCI,34,22,9,6,61,,242,75,33350,5,48.2,612400,LocalCompanies;Accenture;Startups;LocalBanks,"BasicInfo:Established 1997;Infra:Hostel 317 seats, Library 33350 books;Management:StateRun;Education:UG 34,PG 22,PhD 6;Finance:Moderate;Rankings:NIRF 61;Placement:Rate 48.2% Median 612400"
45,Metro Metro Institute of Technology 45,Autonomous,Madhya Pradesh,City_Madhya_46,1959,B++,3.13,AICTE,31,91,9,38,,,246,74,120140,36,45.8,50000,TCS;LocalCompanies;Infosys;Accenture,"BasicInfo:Established 1959;Infra:Hostel 320 seats, Library 120140 books;Management:StateRun;Education:UG 31,PG 91,PhD 38;Finance:Moderate;Rankings:NIRF ;Placement:Rate 45.8% Median 50000"
46,Modern Central University 46,State,Sikkim,City_Sikkim_47,1951,B,2.22,UGC;AICTE,32,57,11,40,,,167,281,116033,44,86.1,405250,Startups;Infosys;Wipro;TCS,"BasicInfo:Established 1951;Infra:Hostel 448 seats, Library 116033 books;Management:StateRun;Education:UG 32,PG 57,PhD 40;Finance:Moderate;Rankings:NIRF ;Placement:Rate 86.1% Median 405250"
47,Indian Central School of Mines 47,Deemed,Chandigarh,City_Chandigarh_48,2009,A,3.35,UGC;AICTE;PCI,73,43,7,5,,,180,379,135218,1,51.1,701230,Accenture;Startups;TCS;Wipro,"BasicInfo:Established 2009;Infra:Hostel 559 seats, Library 135218 books;Management:StateRun;Education:UG 73,PG 43,PhD 5;Finance:Moderate;Rankings:NIRF ;Placement:Rate 51.1% Median 701230"
48,Metro North Vishwavidyalaya 48,Central,Jammu & Kashmir,City_Jammu_49,1991,A,3.12,AICTE,95,35,10,17,,,198,42,56064,1,79.5,363235,Accenture;LocalCompanies;ConsultingFirms;TCS,"BasicInfo:Established 1991;Infra:Hostel 240 seats, Library 56064 books;Management:StateRun;Education:UG 95,PG 35,PhD 17;Finance:Moderate;Rankings:NIRF ;Placement:Rate 79.5% Median 363235"
49,Metro Central Institute of Technology 49,State,Meghalaya,City_Meghalaya_50,2010,B+,2.76,UGC;AICTE,119,4,2,18,,,115,98,66305,36,77.5,688588,Wipro;StateCorp;LocalBanks;TCS,"BasicInfo:Established 2010;Infra:Hostel 213 seats, Library 66305 books;Management:StateRun;Education:UG 119,PG 4,PhD 18;Finance:Moderate;Rankings:NIRF ;Placement:Rate 77.5% Median 688588"
50,Modern Central Institute of Technology 50,State,Andaman & Nicobar,City_Andaman_1,1994,A,3.23,UGC;AICTE;PCI,89,47,14,17,,,92,124,74872,64,77.2,360015,Accenture;ConsultingFirms;TCS;LocalCompanies,"BasicInfo:Established 1994;Infra:Hostel 216 seats, Library 74872 books;Management:StateRun;Education:UG 89,PG 47,PhD 17;Finance:Moderate;Rankings:NIRF ;Placement:Rate 77.2% Median 360015"
51,Modern Metro University 51,Deemed,Dadra & Nagar Haveli and Daman & Diu,City_Dadra_2,1973,A,3.3,UGC;AICTE,75,94,18,33,77,,156,227,92882,45,82.7,265063,Accenture;TCS;StateCorp;Startups,"BasicInfo:Established 1973;Infra:Hostel 383 seats, Library 92882 books;Management:StateRun;Education:UG 75,PG 94,PhD 33;Finance:Moderate;Rankings:NIRF 77;Placement:Rate 82.7% Median 265063"
52,Modern East Institute 52,State,Andhra Pradesh,City_Andhra_3,2018,A+,3.39,UGC,18,72,9,8,,,403,115,53648,31,54.7,374039,Startups;TCS;StateCorp;LocalCompanies,"BasicInfo:Established 2018;Infra:Hostel 518 seats, Library 53648 books;Management:StateRun;Education:UG 18,PG 72,PhD 8;Finance:Moderate;Rankings:NIRF ;Placement:Rate 54.7% Median 374039"
53,Tech West Institute of Technology 53,Central,Sikkim,City_Sikkim_4,1973,C,1.93,NAAC,127,16,2,25,96,,40,324,126741,84,44.7,618080,Startups;TCS;Accenture;LocalBanks,"BasicInfo:Established 1973;Infra:Hostel 364 seats, Library 126741 books;Management:StateRun;Education:UG 127,PG 16,PhD 25;Finance:Moderate;Rankings:NIRF 96;Placement:Rate 44.7% Median 618080"
54,Central Central Institute 54,Deemed,Punjab,City_Punjab_5,1960,C,1.83,UGC,147,99,13,38,,,183,267,1000,43,56.8,61235,Wipro;StateCorp;ConsultingFirms;Startups,"BasicInfo:Established 1960;Infra:Hostel 450 seats, Library 1000 books;Management:StateRun;Education:UG 147,PG 99,PhD 38;Finance:Moderate;Rankings:NIRF ;Placement:Rate 56.8% Median 61235"
55,Metro Central Vishwavidyalaya 55,State,Bihar,City_Bihar_6,1962,C,1.51,AICTE,59,35,2,10,,,254,42,89353,1,96.6,694860,Wipro;Infosys;Accenture;LocalCompanies,"BasicInfo:Established 1962;Infra:Hostel 296 seats, Library 89353 books;Management:StateRun;Education:UG 59,PG 35,PhD 10;Finance:Moderate;Rankings:NIRF ;Placement:Rate 96.6% Median 694860"
56,Metro Metro Institute of Technology 56,State,Chandigarh,City_Chandigarh_7,1987,A++,3.73,NAAC,77,91,14,4,,,251,139,72050,28,11.0,174676,Wipro;Accenture;StateCorp;LocalBanks,"BasicInfo:Established 1987;Infra:Hostel 390 seats, Library 72050 books;Management:StateRun;Education:UG 77,PG 91,PhD 4;Finance:Moderate;Rankings:NIRF ;Placement:Rate 11.0% Median 174676"
57,National North Institute of Technology 57,Central,Dadra & Nagar Haveli and Daman & Diu,City_Dadra_8,1978,B+,2.74,NAAC,41,11,1,10,,,245,150,53758,6,72.5,133094,Accenture;ConsultingFirms;Wipro;LocalCompanies,"BasicInfo:Established 1978;Infra:Hostel 395 seats, Library 53758 books;Management:StateRun;Education:UG 41,PG 11,PhD 10;Finance:Moderate;Rankings:NIRF ;Placement:Rate 72.5% Median 133094"
58,Indian West Institute of Science 58,State,Nagaland,City_Nagaland_9,2014,B++,2.98,UGC;AICTE,25,78,1,27,98,,0,117,8567,46,48.7,1034814,LocalBanks;Accenture;LocalCompanies;StateCorp,"BasicInfo:Established 2014;Infra:Hostel 117 seats, Library 8567 books;Management:StateRun;Education:UG 25,PG 78,PhD 27;Finance:Moderate;Rankings:NIRF 98;Placement:Rate 48.7% Median 1034814"
59,Government Metro University of Science and Technology 59,State,Nagaland,City_Nagaland_10,1955,B+,2.87,AICTE,125,68,20,28,,,278,174,53965,68,85.5,182854,Accenture;Infosys;ConsultingFirms;Wipro,"BasicInfo:Established 1955;Infra:Hostel 452 seats, Library 53965 books;Management:StateRun;Education:UG 125,PG 68,PhD 28;Finance:Moderate;Rankings:NIRF ;Placement:Rate 85.5% Median 182854"
60,Tech West University 60,Central,Tamil Nadu,City_Tamil_11,2002,A,3.32,UGC,46,44,13,31,,,160,214,202472,26,56.1,754918,Accenture;StateCorp;Startups;ConsultingFirms,"BasicInfo:Established 2002;Infra:Hostel 374 seats, Library 202472 books;Management:StateRun;Education:UG 46,PG 44,PhD 31;Finance:Moderate;Rankings:NIRF ;Placement:Rate 56.1% Median 754918"
61,State East Vishwavidyalaya 61,State,Rajasthan,City_Rajasthan_12,1964,C,1.57,UGC;AICTE,136,2,17,29,92,,380,135,43975,1,69.8,586842,StateCorp;LocalCompanies;TCS;Accenture,"BasicInfo:Established 1964;Infra:Hostel 515 seats, Library 43975 books;Management:StateRun;Education:UG 136,PG 2,PhD 29;Finance:Moderate;Rankings:NIRF 92;Placement:Rate 69.8% Median 586842"
62,Tech West Institute of Science 62,State,Bihar,City_Bihar_13,1976,A,3.26,AICTE,78,58,15,7,68,,124,275,31131,17,93.7,995409,LocalCompanies;Wipro;LocalBanks;TCS,"BasicInfo:Established 1976;Infra:Hostel 399 seats, Library 31131 books;Management:StateRun;Education:UG 78,PG 58,PhD 7;Finance:Moderate;Rankings:NIRF 68;Placement:Rate 93.7% Median 995409"
63,Government West School of Mines 63,State,Goa,City_Goa_14,1978,C,1.74,UGC,123,17,20,9,75,,77,211,146370,45,47.6,215896,Startups;Accenture;ConsultingFirms;LocalBanks,"BasicInfo:Established 1978;Infra:Hostel 288 seats, Library 146370 books;Management:StateRun;Education:UG 123,PG 17,PhD 9;Finance:Moderate;Rankings:NIRF 75;Placement:Rate 47.6% Median 215896"
64,Tech South Institute of Technology 64,State,Puducherry,City_Puducherry_15,2020,A+,3.69,AICTE,135,97,4,4,,,0,314,181597,12,71.5,477812,Accenture;StateCorp;Infosys;ConsultingFirms,"BasicInfo:Established 2020;Infra:Hostel 314 seats, Library 181597 books;Management:StateRun;Education:UG 135,PG 97,PhD 4;Finance:Moderate;Rankings:NIRF ;Placement:Rate 71.5% Median 477812"
